Profitability,Sentiment,Win_Rate,Avg_Size_USD,Avg_PnL_USD,Total_PnL_USD,Total_Volume_USD,Taker_Ratio,Buy_Ratio
Profitable,Extreme Fear,0.8019323671497585,3909.0247160493823,61.438486738765434,1119716.420814,71241975.44999999,0.5866666666666667,0.4773113854595336
Profitable,Fear,0.8597402597402597,7354.8277575173615,48.268545697105765,2655059.6246149996,404559655.63,0.6038250372686615,0.4831836526924336
Profitable,Neutral,0.8263267121257041,4613.521412459577,36.6317051676778,1370648.5122590002,172624130.69,0.5961194109629313,0.5413314803431595
Profitable,Greed,0.7876179657462425,5625.569299465585,60.02742776316185,2796857.941769,262112150.37,0.6363616852316871,0.4844075290279656
Profitable,Extreme Greed,0.8901378680885814,3164.964646042084,65.16655459025552,2601448.859243,126345388.67,0.627129258517034,0.456312625250501
Unprofitable,Extreme Fear,0.679431747992588,14679.794389213774,-15.393906296946076,-47382.44358200002,45184407.129999995,0.6423001949317739,0.4012345679012346
Unprofitable,Fear,0.9366343490304709,12575.169303505534,32.742385871617465,212956.477709,81788901.14999999,0.5519680196801968,0.4215867158671587
Unprofitable,Neutral,0.3881453154875717,8908.476178937557,-31.977507252096935,-68623.73056300002,19117589.88,0.5750232991612302,0.4086672879776328
Unprofitable,Greed,0.7452956989247311,3563.271706024096,-172.2385302424096,-357394.95025299996,7393788.789999999,0.3031325301204819,0.6804819277108434
Unprofitable,Extreme Greed,0.711864406779661,3151.748846153846,52.58550548076922,13672.231424999998,819454.7,0.29615384615384616,0.4307692307692308
