Account,Total_PnL,Total_Fee,Net_PnL,Total_Volume,Trade_Count,PnL_Trade_Count,Win_Rate,Avg_Trade_Size,Avg_Fee,Taker_Ratio,Favorite_Coin,Profitability_Class,Size_Class,Freq_Class
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689,15995.318251820001,2127387.27943718,56543565.230000004,14733,6279,0.7910495301799649,3837.8853750084845,1.085679647853119,0.8418516256023892,HYPE,Profitable,Whale,High Frequency
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,7405.312304,1592824.507675,61697263.970000006,3818,1732,0.7927251732101617,16159.576733892092,1.9395789167103195,0.11210057621791514,ETH,Profitable,Whale,High Frequency
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.8062200001,8596.705666218999,931567.1005537811,68036340.24000001,21192,9997,0.9911973592077623,3210.4728312570787,0.40565806276986593,0.32639675349188374,HYPE,Profitable,Whale,High Frequency
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.553077,13352.89970895,822727.65336805,74107810.44,40184,22551,0.7630703738193428,1844.2118863229146,0.3322939405970038,0.7486810670913796,HYPE,Profitable,Whale,High Frequency
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,76424.64289168999,763997.9123243099,420876556.36,12236,5482,0.8954761036118205,34396.58028440667,6.245884512233572,0.7749264465511605,BTC,Profitable,Whale,High Frequency
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.0506429999,8025.99239419,669721.0582488099,39572949.25,4356,2233,0.948499776085983,9084.699093204776,1.842514323735078,0.5580808080808081,SOL,Profitable,Whale,High Frequency
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.56591500004,1551.43726629,427804.12864871003,11474500.920000002,1590,737,0.746268656716418,7216.66724528302,0.9757467083584905,0.07735849056603773,ETH,Profitable,Retail,Low Frequency
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,747.0069310000001,415794.86541,2966109.2199999997,1237,599,1.0,2397.8247534357315,0.6038859587712208,0.22797089733225545,LAYER,Profitable,Retail,Low Frequency
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,403011.504159,290.01104816,402721.49311084,3051144.33,1430,564,0.776595744680851,2133.6673636363635,0.20280492878321676,0.002797202797202797,HYPE,Profitable,Retail,Low Frequency
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711,2595.25914168,376500.14756932,25729497.240000002,9893,8660,0.9263279445727483,2600.7780491256444,0.26233287594056404,0.3174972202567472,JELLY,Profitable,Whale,High Frequency
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,40724.467403,268251.402313,129672529.28,7584,2949,0.9267548321464903,17098.171054852322,5.36978736853903,1.0,BTC,Profitable,Whale,High Frequency
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.06185300002,4773.09848443,215745.96336857002,20737391.709999997,2641,1177,0.7349192863211554,7852.098337750851,1.8073072640780008,0.3578190079515335,ENA,Profitable,Whale,Low Frequency
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.59273200002,267.967088979,199237.62564302102,1987527.61,383,90,1.0,5189.3671279373375,0.6996529738355091,0.206266318537859,BTC,Profitable,Retail,Low Frequency
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.00499400002,3108.1967219999997,165549.80827200002,10166880.2,3239,2060,0.8174757281553398,3138.894782340228,0.9596161537511577,0.7573325100339611,TRUMP,Profitable,Retail,Low Frequency
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,2218.3673664508997,130246.44718754911,6757022.1,13311,6772,0.8620791494388659,507.6269326121253,0.1666567024604387,0.9454586432274059,@107,Profitable,Retail,High Frequency
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,2821.95879926,123756.98333474,10992355.74,3052,892,0.976457399103139,3601.689298820446,0.9246260810157274,0.9282437745740498,FARTCOIN,Profitable,Retail,Low Frequency
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,186.8360769324,108544.3806950676,728057.51,975,426,0.9882629107981221,746.7256512820513,0.19162674557169232,0.961025641025641,@107,Profitable,Retail,Low Frequency
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256,2287.9554331042,104014.9198228958,19868207.98,15605,5561,0.9703290775040461,1273.1950003204101,0.14661681724474207,0.10471002883691125,HYPE,Profitable,Whale,High Frequency
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.71616099999,1230.8465211819,102112.86963981809,4408828.9,8519,3663,0.822003822003822,517.5289235825802,0.14448251217066557,0.705716633407677,@107,Profitable,Retail,High Frequency
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,189.93800451000004,72656.54626749,861809.3999999999,417,255,0.9372549019607843,2066.689208633093,0.45548682136690655,0.60431654676259,PURR/USDC,Profitable,Retail,Low Frequency
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.619531,548.72926461,67296.89026639001,1677425.7199999997,563,230,1.0,2979.441776198934,0.9746523350088809,1.0,AIXBT,Profitable,Retail,Low Frequency
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.65790600001,3384.8822185800004,62128.775687420006,11999173.370000001,1911,714,0.8837535014005602,6279.002286760859,1.7712622807849296,0.9403453689167975,@107,Profitable,Whale,Low Frequency
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243000005,176.27417591699998,53319.973067083,1143896.46,332,158,1.0,3445.471265060241,0.530946313003012,0.3463855421686747,@142,Profitable,Retail,Low Frequency
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.32051399999,2729.83788853,45155.482625469995,12035487.66,7280,4166,0.7736437830052808,1653.2263269230768,0.37497773194093403,0.7755494505494506,@107,Profitable,Whale,High Frequency
0x8477e447846c758f5a675856001ea72298fd9cb5,43917.008976000005,3792.5430954699996,40124.465880530006,12304786.84,14998,6559,0.5990242415002287,820.4285131350847,0.2528699223543139,0.7810374716628884,WLD,Profitable,Whale,High Frequency
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753000002,541.7456094464001,21217.086143553603,4448323.26,534,230,0.7478260869565218,8330.193370786517,1.0145048866037454,0.0599250936329588,BTC,Profitable,Retail,Low Frequency
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443047,780.21690296,14120.22614404,5844484.45,1559,746,0.9450402144772118,3748.8675112251444,0.5004598479538165,0.09557408595253368,ETH,Profitable,Retail,Low Frequency
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919335999999,1458.6571260700002,12998.262209929999,17193375.419999998,3589,1767,0.66553480475382,4790.575486207857,0.4064243873140151,0.07522986904430204,MELANIA,Profitable,Whale,Low Frequency
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,28643.173715000004,-6154.672894000003,108877041.10000001,4838,2641,0.8034835289663006,22504.5558288549,5.920457568210005,0.867920628358826,SOL,Unprofitable,Whale,High Frequency
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599986000005,147.07476338,-31350.674749380003,1409902.0,815,570,0.6508771929824562,1729.9411042944785,0.18045983236809818,0.15460122699386503,@107,Unprofitable,Retail,Low Frequency
0x271b280974205ca63b716753467d5a371de622ab,-70436.191318,9280.98285,-79717.174168,33873440.42,3809,1607,0.7156191661481021,8893.000897873459,2.436593029666579,0.6547650301916513,PAXG,Unprofitable,Whale,High Frequency
0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.12478099996,1579.38545192,-169200.51023291997,10143758.129999999,4601,2341,0.7522426313541222,2204.685531406216,0.3432700395392306,0.14953271028037382,MELANIA,Unprofitable,Retail,High Frequency
